X_Value,Temperature_0,Temperature_1,Temperature_2
0,65.334463,71.992034,67.26869
0.1,65.334463,71.992034,67.26869
0.2,65.334463,71.992034,67.26869
0.3,65.453071,72.214079,67.615239
0.4,65.453071,72.214079,67.615239
0.5,65.453071,72.214079,67.615239
0.6,65.27183,72.22187,67.482815
0.7,65.27183,72.22187,67.482815
0.8,65.27183,72.22187,67.482815
0.9,65.150692,72.135482,67.370772
1,65.150692,72.135482,67.370772
1.1,65.150692,72.135482,67.370772
1.2,65.08645,72.196435,67.231654
1.3,65.08645,72.196435,67.231654
1.4,65.08645,72.196435,67.231654
1.5,65.09035,72.371502,67.215914
1.6,65.09035,72.371502,67.215914
1.7,65.09035,72.371502,67.215914
1.8,65.02909,72.500052,67.75809
1.9,65.02909,72.500052,67.75809
2,65.02909,72.500052,67.75809
2.1,65.098151,72.699404,67.816207
2.2,65.098151,72.699404,67.816207
2.3,65.098151,72.699404,67.816207
2.4,65.33148,72.824513,68.036417
2.5,65.33148,72.824513,68.036417
2.6,65.33148,72.824513,68.036417
2.7,65.136926,72.845594,67.641863
2.8,65.136926,72.845594,67.641863
2.9,65.136926,72.845594,67.641863
3,65.445042,72.963141,67.643252
3.1,65.445042,72.963141,67.643252
3.2,65.445042,72.963141,67.643252
3.3,65.293855,72.923729,67.948422
3.4,65.293855,72.923729,67.948422
3.5,65.293855,72.923729,67.948422
3.6,65.300967,72.915939,68.291857
3.7,65.300967,72.915939,68.291857
3.8,65.300967,72.915939,68.291857
3.9,65.244758,72.883401,67.861821
4,65.244758,72.883401,67.861821
4.1,65.244758,72.883401,67.861821
4.2,65.386082,72.794955,68.0781
4.3,65.386082,72.794955,68.0781
4.4,65.386082,72.794955,68.0781
4.5,65.39067,72.870112,68.451207
4.6,65.39067,72.870112,68.451207
4.7,65.39067,72.870112,68.451207
4.8,65.462707,72.831158,68.368056
4.9,65.462707,72.831158,68.368056
5,65.462707,72.831158,68.368056
5.1,65.46936,72.557108,68.284214
5.2,65.46936,72.557108,68.284214
5.3,65.46936,72.557108,68.284214
5.4,65.63224,72.180853,68.320344
5.5,65.63224,72.180853,68.320344
5.6,65.63224,72.180853,68.320344
5.7,64.958651,71.638447,67.722666
5.8,64.958651,71.638447,67.722666
5.9,64.958651,71.638447,67.722666
6,64.409088,71.113431,66.65469
6.1,64.409088,71.113431,66.65469
6.2,64.409088,71.113431,66.65469
6.3,63.892257,70.600072,65.649768
6.4,63.892257,70.600072,65.649768
6.5,63.892257,70.600072,65.649768
6.6,63.437323,70.132979,64.696924
6.7,63.437323,70.132979,64.696924
6.8,63.437323,70.132979,64.696924
