X_Value,Temperature_0,Temperature_1,Temperature_2
16.8,55.54647,74.637595,39.998249
16.9,55.54647,74.637595,39.998249
17,55.54647,74.637595,39.998249
17.1,58.143318,79.685433,41.85596
17.2,58.143318,79.685433,41.85596
17.3,58.143318,79.685433,41.85596
17.4,61.137938,85.230068,43.725856
17.5,61.137938,85.230068,43.725856
17.6,61.137938,85.230068,43.725856
17.7,64.404269,91.252337,45.747558
17.8,64.404269,91.252337,45.747558
17.9,64.404269,91.252337,45.747558
18,67.901339,97.721077,47.849903
18.1,67.901339,97.721077,47.849903
18.2,67.901339,97.721077,47.849903
18.3,71.611407,104.799331,49.897274
18.4,71.611407,104.799331,49.897274
18.5,71.611407,104.799331,49.897274
18.6,75.5181,112.540285,52.312678
18.7,75.5181,112.540285,52.312678
18.8,75.5181,112.540285,52.312678
18.9,79.726226,121.125644,54.626071
19,79.726226,121.125644,54.626071
19.1,79.726226,121.125644,54.626071
19.2,84.249533,130.50921,56.44132
19.3,84.249533,130.50921,56.44132
19.4,84.249533,130.50921,56.44132
19.5,88.877006,140.54005,58.484425
19.6,88.877006,140.54005,58.484425
19.7,88.877006,140.54005,58.484425
19.8,93.674695,151.879684,60.963563
19.9,93.674695,151.879684,60.963563
20,93.674695,151.879684,60.963563
20.1,99.13053,164.264266,63.912914
20.2,99.13053,164.264266,63.912914
20.3,99.13053,164.264266,63.912914
20.4,104.873307,177.43922,66.947652
20.5,104.873307,177.43922,66.947652
20.6,104.873307,177.43922,66.947652
20.7,110.681486,191.552356,69.958328
20.8,110.681486,191.552356,69.958328
20.9,110.681486,191.552356,69.958328
21,116.528122,206.263588,72.685656
21.1,116.528122,206.263588,72.685656
21.2,116.528122,206.263588,72.685656
21.3,122.861659,221.610673,75.686731
21.4,122.861659,221.610673,75.686731
21.5,122.861659,221.610673,75.686731
21.6,129.827669,236.612796,78.773365
21.7,129.827669,236.612796,78.773365
21.8,129.827669,236.612796,78.773365
21.9,136.405153,251.06708,81.818403
22,136.405153,251.06708,81.818403
22.1,136.405153,251.06708,81.818403
22.2,142.532587,265.010374,85.042202
22.3,142.532587,265.010374,85.042202
22.4,142.532587,265.010374,85.042202
22.5,148.417727,278.120447,88.502297
22.6,148.417727,278.120447,88.502297
22.7,148.417727,278.120447,88.502297
22.8,154.166578,290.127064,92.100391
22.9,154.166578,290.127064,92.100391
23,154.166578,290.127064,92.100391
23.1,160.176757,300.752217,95.716717
23.2,160.176757,300.752217,95.716717
23.3,160.176757,300.752217,95.716717
23.4,165.682435,310.070211,99.341472
23.5,165.682435,310.070211,99.341472
23.6,165.682435,310.070211,99.341472
23.7,170.76685,318.466727,102.80927
23.8,170.76685,318.466727,102.80927
23.9,170.76685,318.466727,102.80927
24,175.666051,325.623082,106.424464
24.1,175.666051,325.623082,106.424464
24.2,175.666051,325.623082,106.424464
24.3,180.641165,331.734185,110.195702
24.4,180.641165,331.734185,110.195702
24.5,180.641165,331.734185,110.195702
24.6,184.9057,336.907737,113.753007
24.7,184.9057,336.907737,113.753007
24.8,184.9057,336.907737,113.753007
24.9,188.66814,341.234626,117.319205
25,188.66814,341.234626,117.319205
25.1,188.66814,341.234626,117.319205
25.2,192.0119,344.70363,120.757752
25.3,192.0119,344.70363,120.757752
25.4,192.0119,344.70363,120.757752
25.5,194.971827,347.264097,124.020446
25.6,194.971827,347.264097,124.020446
25.7,194.971827,347.264097,124.020446
25.8,197.267474,348.882294,127.242734
25.9,197.267474,348.882294,127.242734
26,197.267474,348.882294,127.242734
26.1,200.341297,350.498055,130.45737
26.2,200.341297,350.498055,130.45737
26.3,200.341297,350.498055,130.45737
26.4,203.243794,351.747844,133.679916
26.5,203.243794,351.747844,133.679916
26.6,203.243794,351.747844,133.679916
26.7,205.139533,352.129129,136.699336
26.8,205.139533,352.129129,136.699336
26.9,205.139533,352.129129,136.699336
27,207.029557,352.616624,139.226453
27.1,207.029557,352.616624,139.226453
27.2,207.029557,352.616624,139.226453
27.3,208.543498,352.849554,141.82666
27.4,208.543498,352.849554,141.82666
27.5,208.543498,352.849554,141.82666
27.6,210.246053,352.698515,144.024762
27.7,210.246053,352.698515,144.024762
27.8,210.246053,352.698515,144.024762
27.9,211.910804,352.54133,146.568972
28,211.910804,352.54133,146.568972
28.1,211.910804,352.54133,146.568972
28.2,213.44862,352.206703,148.917433
28.3,213.44862,352.206703,148.917433
28.4,213.44862,352.206703,148.917433
28.5,214.560692,350.933562,151.193822
28.6,214.560692,350.933562,151.193822
28.7,214.560692,350.933562,151.193822
28.8,215.634409,350.195868,153.116551
28.9,215.634409,350.195868,153.116551
29,215.634409,350.195868,153.116551
29.1,216.749832,349.37207,154.729592
29.2,216.749832,349.37207,154.729592
29.3,216.749832,349.37207,154.729592
29.4,217.812184,348.5682,156.480809
29.5,217.812184,348.5682,156.480809
29.6,217.812184,348.5682,156.480809
29.7,218.652753,347.608984,158.043746
29.8,218.652753,347.608984,158.043746
29.9,218.652753,347.608984,158.043746
30,218.745794,346.214073,159.215822
30.1,218.745794,346.214073,159.215822
30.2,218.745794,346.214073,159.215822
30.3,218.956786,344.799282,160.838855
30.4,218.956786,344.799282,160.838855
30.5,218.956786,344.799282,160.838855
30.6,219.807972,343.698296,162.575658
30.7,219.807972,343.698296,162.575658
30.8,219.807972,343.698296,162.575658
30.9,220.563336,342.622181,163.96513
31,220.563336,342.622181,163.96513
31.1,220.563336,342.622181,163.96513
31.2,221.243102,341.54953,165.47413
31.3,221.243102,341.54953,165.47413
31.4,221.243102,341.54953,165.47413
31.5,222.005466,340.476695,166.881995
31.6,222.005466,340.476695,166.881995
31.7,222.005466,340.476695,166.881995
31.8,222.715252,339.329368,168.377492
31.9,222.715252,339.329368,168.377492
32,222.715252,339.329368,168.377492
32.1,223.365386,338.137597,169.817457
32.2,223.365386,338.137597,169.817457
32.3,223.365386,338.137597,169.817457
32.4,224.035517,336.899528,171.23136
32.5,224.035517,336.899528,171.23136
32.6,224.035517,336.899528,171.23136
32.7,224.526406,335.624936,172.565271
32.8,224.526406,335.624936,172.565271
32.9,224.526406,335.624936,172.565271
33,225.007264,334.45158,173.887301
33.1,225.007264,334.45158,173.887301
33.2,225.007264,334.45158,173.887301
33.3,225.517407,333.186943,175.008779
33.4,225.517407,333.186943,175.008779
33.5,225.517407,333.186943,175.008779
33.6,225.923751,331.895545,175.927926
33.7,225.923751,331.895545,175.927926
33.8,225.923751,331.895545,175.927926
33.9,226.31228,330.633064,177.082603
34,226.31228,330.633064,177.082603
34.1,226.31228,330.633064,177.082603
34.2,226.689394,329.362297,178.143426
34.3,226.689394,329.362297,178.143426
34.4,226.689394,329.362297,178.143426
34.5,226.945982,328.108809,179.127051
34.6,226.945982,328.108809,179.127051
34.7,226.945982,328.108809,179.127051
34.8,227.2584,326.881746,180.116719
34.9,227.2584,326.881746,180.116719
35,227.2584,326.881746,180.116719
35.1,227.498134,325.58378,180.922007
35.2,227.498134,325.58378,180.922007
35.3,227.498134,325.58378,180.922007
35.4,227.733824,324.182619,181.780068
35.5,227.733824,324.182619,181.780068
35.6,227.733824,324.182619,181.780068
35.7,227.80907,322.942696,182.479715
35.8,227.80907,322.942696,182.479715
35.9,227.80907,322.942696,182.479715
36,227.954351,321.675923,182.753423
36.1,227.954351,321.675923,182.753423
36.2,227.954351,321.675923,182.753423
36.3,228.21508,320.459816,183.518244
36.4,228.21508,320.459816,183.518244
36.5,228.21508,320.459816,183.518244
36.6,228.276828,319.164215,183.892667
36.7,228.276828,319.164215,183.892667
36.8,228.276828,319.164215,183.892667
36.9,228.011373,317.871441,184.608351
37,228.011373,317.871441,184.608351
37.1,228.011373,317.871441,184.608351
37.2,228.192131,316.708786,185.363181
37.3,228.192131,316.708786,185.363181
37.4,228.192131,316.708786,185.363181
37.5,228.368147,315.58131,186.025182
37.6,228.368147,315.58131,186.025182
37.7,228.368147,315.58131,186.025182
37.8,228.386836,314.405656,186.632056
37.9,228.386836,314.405656,186.632056
38,228.386836,314.405656,186.632056
38.1,228.430837,313.106846,187.249905
38.2,228.430837,313.106846,187.249905
38.3,228.430837,313.106846,187.249905
38.4,227.962869,311.776673,187.851282
38.5,227.962869,311.776673,187.851282
38.6,227.962869,311.776673,187.851282
38.7,227.967364,310.613664,188.112354
38.8,227.967364,310.613664,188.112354
38.9,227.967364,310.613664,188.112354
39,228.022966,309.436773,188.31806
39.1,228.022966,309.436773,188.31806
39.2,228.022966,309.436773,188.31806
39.3,228.134167,308.311368,188.848071
39.4,228.134167,308.311368,188.848071
39.5,228.134167,308.311368,188.848071
39.6,228.168473,307.147525,189.038977
39.7,228.168473,307.147525,189.038977
39.8,228.168473,307.147525,189.038977
39.9,228.09016,305.944054,189.639132
40,228.09016,305.944054,189.639132
40.1,228.09016,305.944054,189.639132
40.2,227.786591,304.471932,190.138812
40.3,227.786591,304.471932,190.138812
40.4,227.786591,304.471932,190.138812
40.5,227.041131,303.167609,190.599347
40.6,227.041131,303.167609,190.599347
40.7,227.041131,303.167609,190.599347
40.8,226.025328,301.742578,190.873038
40.9,226.025328,301.742578,190.873038
41,226.025328,301.742578,190.873038
41.1,225.47407,300.693816,191.15794
41.2,225.47407,300.693816,191.15794
41.3,225.47407,300.693816,191.15794
41.4,225.01058,299.603551,191.339998
41.5,225.01058,299.603551,191.339998
41.6,225.01058,299.603551,191.339998
41.7,224.839328,298.488532,191.476957
41.8,224.839328,298.488532,191.476957
41.9,224.839328,298.488532,191.476957
42,224.636561,297.46427,191.547346
42.1,224.636561,297.46427,191.547346
42.2,224.636561,297.46427,191.547346
42.3,224.479737,296.369914,191.791435
42.4,224.479737,296.369914,191.791435
42.5,224.479737,296.369914,191.791435
42.6,224.131948,295.127767,192.021683
42.7,224.131948,295.127767,192.021683
42.8,224.131948,295.127767,192.021683
42.9,223.950219,294.00793,192.243337
43,223.950219,294.00793,192.243337
43.1,223.950219,294.00793,192.243337
43.2,223.851412,292.987713,192.503401
43.3,223.851412,292.987713,192.503401
43.4,223.851412,292.987713,192.503401
43.5,223.620613,292.022253,192.708824
43.6,223.620613,292.022253,192.708824
43.7,223.620613,292.022253,192.708824
43.8,223.246178,291.032259,192.925696
43.9,223.246178,291.032259,192.925696
44,223.246178,291.032259,192.925696
44.1,223.207784,290.089226,193.172386
44.2,223.207784,290.089226,193.172386
44.3,223.207784,290.089226,193.172386
44.4,223.180766,289.052641,193.406666
44.5,223.180766,289.052641,193.406666
44.6,223.180766,289.052641,193.406666
44.7,223.096865,288.158825,193.317439
44.8,223.096865,288.158825,193.317439
44.9,223.096865,288.158825,193.317439
45,222.975276,287.313917,193.410006
45.1,222.975276,287.313917,193.410006
45.2,222.975276,287.313917,193.410006
45.3,222.926923,286.410998,193.590364
